,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,iqaluit,75,CA,1635630291,69,63.7506,-68.5145,37.13,11.01
1,hermanus,58,ZA,1635630291,87,-34.4187,19.2345,61.9,8.39
2,mataura,100,NZ,1635630292,96,-46.1927,168.8643,49.66,12.59
3,albany,93,US,1635630292,90,42.6001,-73.9662,57.78,3.33
4,butaritari,24,KI,1635630293,73,3.0707,172.7902,82.38,6.2
5,castro,86,BR,1635630294,93,-24.7911,-50.0119,61.92,8.93
6,longyearbyen,96,SJ,1635629999,83,78.2186,15.6401,18.45,3.2
7,tasiilaq,91,GL,1635630295,65,65.6145,-37.6368,26.76,5.14
8,tuktoyaktuk,75,CA,1635630008,93,69.4541,-133.0374,17.6,9.22
9,vaini,40,TO,1635630295,88,-21.2,-175.2,77.16,9.22
10,ushuaia,0,AR,1635630091,46,-54.8,-68.3,51.46,19.57
11,gonen,61,TR,1635630296,45,40.1049,27.654,59.02,5.1
12,pacific grove,31,US,1635630297,68,38.482,-90.7415,63.43,1.01
13,esmeralda,100,CU,1635630297,85,21.8525,-78.1169,74.44,3.13
14,pisco,0,PE,1635630298,77,-13.7,-76.2167,66.25,9.22
15,sao sebastiao,41,IN,1635630299,61,20.5113,76.2129,63.18,1.66
16,brae,100,GB,1635630299,93,60.3964,-1.353,48.11,9.35
17,new norfolk,100,LR,1635630300,96,6.6518,-10.5932,76.23,2.24
18,cairns,53,AU,1635630301,77,-16.9167,145.7667,80.55,8.05
19,muravlenko,95,RU,1635630302,94,63.7898,74.523,6.66,14.74
20,yulara,100,AU,1635630303,94,-25.2406,130.9889,57.04,8.05
21,mar del plata,0,ES,1635630305,93,43.4002,-4.0094,61.02,3.0
22,port alfred,74,CD,1635630306,66,-7.0349,29.7638,75.54,5.95
23,lebu,100,CL,1635630306,77,-37.6167,-73.65,54.27,14.5
24,ribeira grande,75,ES,1635630307,88,42.7461,-8.4439,64.06,11.5
25,norman wells,0,US,1635630307,30,35.2226,-97.4395,74.86,1.99
26,santander,0,ES,1635630308,89,43.4647,-3.8044,60.46,1.99
27,kapaa,20,US,1635630308,83,22.0752,-159.319,82.18,4.0
28,kaitangata,98,NZ,1635630308,54,-46.2817,169.8464,60.3,10.69
29,geraldton,0,AU,1635630309,87,-28.7667,114.6,50.41,8.05
30,qaanaaq,0,GL,1635630309,53,77.484,-69.3632,2.73,8.55
31,hasaki,82,JP,1635630310,62,35.7333,140.8333,54.28,7.09
32,thinadhoo,68,MV,1635630310,75,0.5333,72.9333,82.76,18.25
33,aklavik,40,CA,1635630311,93,68.2191,-135.0107,18.43,5.75
34,hobart,75,AU,1635630033,60,-42.8794,147.3294,58.26,4.0
35,noumea,3,NC,1635630208,99,-22.2763,166.4572,76.98,2.71
36,mabaruma,92,GY,1635630312,89,8.2,-59.7833,76.01,3.47
37,bengkulu,100,ID,1635630312,90,-3.8004,102.2655,75.92,4.85
38,saint-gabriel,100,CA,1635630312,95,46.3001,-73.3824,48.02,11.32
39,busselton,94,AU,1635630313,89,-33.65,115.3333,44.04,5.28
40,vila franca do campo,97,PT,1635630314,93,42.0304,-8.1588,54.32,5.32
41,quelimane,0,MZ,1635630314,77,-17.8786,36.8883,71.15,5.93
42,arraial do cabo,92,BR,1635630314,92,-22.8362,-46.646,74.61,8.7
43,leningradskiy,99,RU,1635630315,97,69.3833,178.4167,-1.08,6.38
44,sulat,97,PH,1635630316,84,11.8103,125.4544,79.52,13.65
45,punta arenas,75,PH,1635630316,90,8.9897,125.34,76.06,4.63
46,nome,1,US,1635630317,67,64.5011,-165.4064,12.27,0.0
47,hilo,1,US,1635630212,72,19.7297,-155.09,80.33,8.05
48,chaadayevka,34,RU,1635630317,97,53.1427,45.9122,44.65,8.5
49,college,90,US,1635630318,62,64.8569,-147.8028,41.32,5.75
50,puerto escondido,90,ES,1635630318,92,36.5939,-6.233,70.25,16.11
51,harper,99,LR,1635630319,86,4.375,-7.7169,77.61,5.5
52,bredasdorp,67,ZA,1635630319,94,-34.5322,20.0403,58.28,2.3
53,nuuk,75,GL,1635630044,86,64.1835,-51.7216,34.41,32.21
54,hithadhoo,100,MV,1635630320,75,-0.6,73.0833,82.85,20.67
55,zirandaro,14,MX,1635630320,56,18.45,-100.9833,88.52,1.07
56,lorengau,92,PG,1635630321,78,-2.0226,147.2712,83.07,7.54
57,kupang,20,ID,1635630321,100,-10.1667,123.5833,75.78,2.3
58,ambulu,48,ID,1635630322,90,-8.345,113.6058,75.47,3.42
59,sorland,100,NO,1635630323,90,67.667,12.6934,48.81,22.35
60,novo cruzeiro,40,CU,1635630323,56,22.7847,-82.2251,82.74,14.9
61,sioux lookout,1,US,1635630324,44,42.7333,-96.2336,64.06,12.66
62,rikitea,80,PF,1635630324,85,-23.1203,-134.9692,75.02,21.12
63,deputatskiy,98,RU,1635630325,98,69.3,139.9,-8.27,5.17
64,avera,100,US,1635630325,71,33.194,-82.5271,61.72,11.41
65,vestmannaeyjar,87,IS,1635630325,77,63.4427,-20.2734,43.56,5.03
66,lhokseumawe,100,ID,1635630327,91,5.1801,97.1507,76.14,1.28
67,san jose,62,ML,1635630327,40,13.3034,-4.8956,87.46,5.53
68,chapais,95,CA,1635630328,65,49.7834,-74.8492,51.58,7.58
69,lubbock,1,US,1635630130,13,33.6001,-101.8338,86.38,13.0
70,avarua,20,CK,1635630328,60,-21.2078,-159.775,75.25,12.66
71,puerto ayora,90,ES,1635630329,92,36.5939,-6.233,70.25,16.11
72,nanortalik,60,GL,1635630329,72,60.1432,-45.2371,34.45,2.59
73,camacha,20,PT,1635630330,83,33.0833,-16.3333,69.22,11.5
74,konstantinovka,0,RU,1635630331,53,49.6167,127.9833,24.69,6.87
75,matara,68,LK,1635630331,91,5.9485,80.5353,76.24,2.57
76,sitka,75,US,1635630332,61,57.0531,-135.33,48.09,12.66
77,narsaq,94,GL,1635630332,69,60.9167,-46.05,30.42,5.35
78,akureyri,75,IS,1635630333,87,65.6835,-18.0878,39.13,11.5
79,tautira,37,PF,1635630334,76,-17.7333,-149.15,82.42,17.02
80,puerto madryn,90,ES,1635630318,92,36.5939,-6.233,70.25,16.11
81,naze,1,JP,1635630336,77,28.3667,129.4833,65.32,6.73
82,alcantara,21,BR,1635630336,83,-2.4089,-44.4147,84.4,6.04
83,mangai,62,CD,1635630337,98,-4.05,19.5333,69.4,0.69
84,wanganui,82,NZ,1635630285,76,-39.9333,175.05,62.74,23.0
85,paamiut,82,GL,1635630338,77,61.994,-49.6678,31.82,13.6
86,ilulissat,20,GL,1635630338,65,69.2167,-51.1,37.42,16.11
87,atuona,5,PF,1635630213,65,-9.8,-139.0333,78.01,14.79
88,zharkent,96,KZ,1635630339,78,44.1628,80.0,43.81,2.68
89,porbandar,14,IN,1635630340,36,21.6422,69.6093,76.93,6.69
90,jamestown,90,US,1635630320,85,42.097,-79.2353,54.3,1.01
91,nyurba,100,RU,1635630340,94,63.2842,118.3319,23.34,8.34
92,khatanga,79,RU,1635630341,99,71.9667,102.5,-4.68,1.63
93,cape town,100,CL,1635630341,43,-36.413,-71.9028,72.82,4.29
94,chokurdakh,99,RU,1635630342,97,70.6333,147.9167,1.71,6.24
95,batagay-alyta,26,RU,1635630342,87,67.8006,130.4114,-14.66,4.52
96,constitucion,100,CL,1635630343,71,-35.3333,-72.4167,61.09,13.87
97,ust-nera,97,RU,1635630343,99,64.5667,143.2,-12.55,2.77
98,barrow,90,US,1635630345,79,71.2906,-156.7887,17.62,0.0
99,yellowknife,75,CA,1635630109,86,62.456,-114.3525,29.41,5.99
100,kavaratti,81,IN,1635630345,72,10.5669,72.642,81.68,2.13
101,aripuana,52,BR,1635630345,70,-9.1667,-60.6333,80.17,3.38
102,dikson,100,RU,1635630346,91,73.5069,80.5464,7.0,16.35
103,faya,0,SA,1635630346,47,18.3851,42.4509,60.91,6.13
104,mollendo,53,PE,1635630347,78,-17.0231,-72.0147,66.33,6.64
105,half moon bay,100,LR,1635630347,90,6.3807,-10.6953,76.89,2.57
106,port macquarie,74,CD,1635630348,66,-7.0349,29.7638,75.54,5.95
107,mahebourg,20,MU,1635630348,88,-20.4081,57.7,70.25,5.75
108,inta,92,RU,1635630349,94,66.0317,60.1659,7.86,5.06
109,dinajpur,1,BD,1635630349,60,25.6272,88.6386,64.65,3.62
110,guerrero negro,47,MX,1635630350,78,17.6667,-100.0,74.32,2.42
111,sept-iles,40,CA,1635630350,89,50.2001,-66.3821,45.05,3.44
112,severo-kurilsk,83,RU,1635630350,83,50.6789,156.125,41.07,12.06
113,sayyan,84,YE,1635630351,67,15.1718,44.3244,55.51,6.24
114,caravelas,95,BR,1635630351,86,-17.7125,-39.2481,73.81,6.67
115,saskylakh,100,RU,1635630352,92,71.9167,114.0833,11.86,12.12
116,wajima,100,JP,1635630352,65,37.4,136.9,61.02,2.24
117,bathsheba,40,BB,1635630353,69,13.2167,-59.5167,83.01,13.8
118,itaobim,95,BR,1635630353,64,-16.5667,-41.8333,77.65,7.36
119,hualmay,86,PE,1635630354,75,-11.0964,-77.6139,65.91,7.38
120,acapulco,40,MX,1635630134,74,16.8634,-99.8901,87.62,6.91
121,lexington,90,US,1635629642,89,37.9887,-84.4777,54.72,1.99
122,port elizabeth,74,CD,1635630355,66,-7.0349,29.7638,75.54,5.95
123,port lincoln,74,CD,1635630348,66,-7.0349,29.7638,75.54,5.95
124,tezu,41,IN,1635630356,51,27.9167,96.1667,65.91,2.17
125,upernavik,100,GL,1635630357,58,72.7868,-56.1549,27.77,8.1
126,moses lake,27,CI,1635630357,98,6.689,-8.4755,71.06,2.1
127,misratah,100,LY,1635630358,62,32.3754,15.0925,72.46,15.12
